;"World"
"1980-01-01 00:00:00";7089,69444042774
"1981-01-01 00:00:00";7019,18974950978
"1982-01-01 00:00:00";7029,47283188107
"1983-01-01 00:00:00";7117,59008132791
"1984-01-01 00:00:00";7468,38998371529
"1985-01-01 00:00:00";7672,25089695097
"1986-01-01 00:00:00";7866,04138415173
"1987-01-01 00:00:00";8124,30557315816
"1988-01-01 00:00:00";8442,51879787671
"1989-01-01 00:00:00";8561,49264207294
"1990-01-01 00:00:00";8754,8429446748
"1991-01-01 00:00:00";8706,34949127441
"1992-01-01 00:00:00";8800,75413738382
"1993-01-01 00:00:00";8876,64189854545
"1994-01-01 00:00:00";8979,02468235162
"1995-01-01 00:00:00";9236,81697648843
"1996-01-01 00:00:00";9447,83096400463
"1997-01-01 00:00:00";9521,04114967952
"1998-01-01 00:00:00";9580,49890302559
"1999-01-01 00:00:00";9781,47259968939
"2000-01-01 00:00:00";10054,46282059
"2001-01-01 00:00:00";10150,4022238828
"2002-01-01 00:00:00";10391,676196013
"2003-01-01 00:00:00";10808,900917673
"2004-01-01 00:00:00";11288,2431680661
"2005-01-01 00:00:00";11683,6156132337
"2006-01-01 00:00:00";12065,9673677269
"2007-01-01 00:00:00";12386,0860726969
"2008-01-01 00:00:00";12588,7064260047
"2009-01-01 00:00:00";12477,441734567
"2010-01-01 00:00:00";13200,7674981
"2011-01-01 00:00:00";13592,005626924
"2012-01-01 00:00:00";13925,2268045424
"2013-01-01 00:00:00";14182,9806902665
"2014-01-01 00:00:00";14341,7094143834
"2015-01-01 00:00:00";14425,6326095167
"2016-01-01 00:00:00";14513,6547518455
